filename,rttm_content,processing_time,num_segments,num_speakers,speaker_ids,timestamp
Dickson Lau 0489_8330-97501167_2025101001451020981.wav,"SPEAKER Dickson Lau 0489_8330-97501167_2025101001451020981 1   0.000   2.375 <NA> <NA> speaker_0 <NA> <NA>
SPEAKER Dickson Lau 0489_8330-97501167_2025101001451020981 1   2.375   3.500 <NA> <NA> speaker_1 <NA> <NA>
SPEAKER Dickson Lau 0489_8330-97501167_2025101001451020981 1   5.875   1.845 <NA> <NA> speaker_0 <NA> <NA>
SPEAKER Dickson Lau 0489_8330-97501167_2025101001451020981 1   8.380   3.340 <NA> <NA> speaker_0 <NA> <NA>
SPEAKER Dickson Lau 0489_8330-97501167_2025101001451020981 1   13.580   2.125 <NA> <NA> speaker_1 <NA> <NA>
SPEAKER Dickson Lau 0489_8330-97501167_2025101001451020981 1   15.705   1.695 <NA> <NA> speaker_0 <NA> <NA>
SPEAKER Dickson Lau 0489_8330-97501167_2025101001451020981 1   18.300   1.625 <NA> <NA> speaker_1 <NA> <NA>
SPEAKER Dickson Lau 0489_8330-97501167_2025101001451020981 1   19.925   0.675 <NA> <NA> speaker_0 <NA> <NA>
SPEAKER Dickson Lau 0489_8330-97501167_2025101001451020981 1   21.580   1.875 <NA> <NA> speaker_0 <NA> <NA>
SPEAKER Dickson Lau 0489_8330-97501167_2025101001451020981 1   23.455   1.500 <NA> <NA> speaker_1 <NA> <NA>
SPEAKER Dickson Lau 0489_8330-97501167_2025101001451020981 1   24.955   4.445 <NA> <NA> speaker_0 <NA> <NA>
SPEAKER Dickson Lau 0489_8330-97501167_2025101001451020981 1   29.900   0.625 <NA> <NA> speaker_1 <NA> <NA>
SPEAKER Dickson Lau 0489_8330-97501167_2025101001451020981 1   30.525   1.750 <NA> <NA> speaker_0 <NA> <NA>
SPEAKER Dickson Lau 0489_8330-97501167_2025101001451020981 1   32.275   0.965 <NA> <NA> speaker_1 <NA> <NA>
",4.8442418575286865,14,1,<NA>,2025-10-27 15:10:53
Dickson Lau 0489_8330-22776622_202510140140158059.wav,"SPEAKER Dickson Lau 0489_8330-22776622_202510140140158059 1   0.060   1.875 <NA> <NA> speaker_1 <NA> <NA>
SPEAKER Dickson Lau 0489_8330-22776622_202510140140158059 1   1.935   8.000 <NA> <NA> speaker_0 <NA> <NA>
SPEAKER Dickson Lau 0489_8330-22776622_202510140140158059 1   9.935   9.000 <NA> <NA> speaker_1 <NA> <NA>
SPEAKER Dickson Lau 0489_8330-22776622_202510140140158059 1   18.935   1.000 <NA> <NA> speaker_0 <NA> <NA>
SPEAKER Dickson Lau 0489_8330-22776622_202510140140158059 1   19.935   3.705 <NA> <NA> speaker_1 <NA> <NA>
SPEAKER Dickson Lau 0489_8330-22776622_202510140140158059 1   23.980   1.875 <NA> <NA> speaker_0 <NA> <NA>
SPEAKER Dickson Lau 0489_8330-22776622_202510140140158059 1   25.855   3.250 <NA> <NA> speaker_1 <NA> <NA>
SPEAKER Dickson Lau 0489_8330-22776622_202510140140158059 1   29.105   0.455 <NA> <NA> speaker_0 <NA> <NA>
",4.524711608886719,8,1,<NA>,2025-10-27 16:26:56
Dickson Lau 0489_8330-24193912_2025101708162529452.wav,"SPEAKER Dickson Lau 0489_8330-24193912_2025101708162529452 1   0.140   4.300 <NA> <NA> speaker_0 <NA> <NA>
",192.57994413375854,1,1,<NA>,2025-10-27 16:31:17
