MsgRef,OrderGroup,OrderNo,OrderRef,OrderSeq,ACCode,SCTYCode,OrderSide,OrderType,OrderQty,OrderPrice,OrderStatus,OrderTime,donePrice,doneQty,ReducedQty,RejectedQty,outQty,MsgText,AECode,Inputer,Channel,IPAddress,BCAN
10575,INPUT,78246476,78246476,3062162435,P77197,3320,A,E,10000,4.94,C,2025-10-09 10:57:32.620,0,0,10000,0,0,,CK489,CK489,SATS,192.168.3.66,AAG460.1004271
10639,INPUT,78246540,78246540,,P77197,9698,B,E,1000,36.52,X,2025-10-09 10:58:42.867,0,0,0,1000,0,2081 Warning! Price 35 S from nominal. Please check.,CK489,CK489,SATS,192.168.3.66,AAG460.1004271
10645,INPUT,78246546,78246546,3228355585,P77197,9698,B,E,1000,36.52,C,2025-10-09 10:58:52.960,0,0,1000,0,0,,CK489,CK489,SATS,192.168.3.66,AAG460.1004271
18684,INPUT,78254538,78254538,7192590083,P77197,3320,A,E,10000,4.95,F,2025-10-09 15:36:35.903,4.95,10000,0,0,0,,CK489,CK489,SATS,192.168.3.66,AAG460.1004271
18692,INPUT,78254546,78254546,6908165121,P77197,9988,B,E,200,173.4,F,2025-10-09 15:36:49.560,173.4,200,0,0,0,,CK489,CK489,SATS,192.168.3.66,AAG460.1004271
12426,CANCEL,78248350,78246476,3062162435,P77197,3320,A,E,0,4.94,C,2025-10-09 11:56:09.097,0,0,10000,0,0,,CK489,CK489,SATS,192.168.3.66,NULL
12436,CANCEL,78248360,78246546,3228355585,P77197,9698,B,E,0,36.52,C,2025-10-09 11:56:24.757,0,0,1000,0,0,,CK489,CK489,SATS,192.168.3.66,NULL
